Files already downloaded and verified
Files already downloaded and verified
[LUNCH] T0, ER+vit, normal => test T0 = 97.60%
[LUNCH] T1, ER+vit, normal => test T0 = 94.40%
[LUNCH] T1, ER+vit, normal => test T1 = 99.60%
[LUNCH] T2, ER+vit, normal => test T0 = 57.20%
[LUNCH] T2, ER+vit, normal => test T1 = 91.00%
[LUNCH] T2, ER+vit, normal => test T2 = 99.20%
[LUNCH] T3, ER+vit, normal => test T0 = 44.60%
[LUNCH] T3, ER+vit, normal => test T1 = 46.80%
[LUNCH] T3, ER+vit, normal => test T2 = 85.60%
[LUNCH] T3, ER+vit, normal => test T3 = 98.60%
[LUNCH] T4, ER+vit, normal => test T0 = 36.20%
[LUNCH] T4, ER+vit, normal => test T1 = 52.40%
[LUNCH] T4, ER+vit, normal => test T2 = 77.40%
[LUNCH] T4, ER+vit, normal => test T3 = 92.00%
[LUNCH] T4, ER+vit, normal => test T4 = 99.00%
[LUNCH] T5, ER+vit, normal => test T0 = 35.80%
[LUNCH] T5, ER+vit, normal => test T1 = 68.20%
[LUNCH] T5, ER+vit, normal => test T2 = 58.40%
[LUNCH] T5, ER+vit, normal => test T3 = 47.00%
[LUNCH] T5, ER+vit, normal => test T4 = 94.00%
[LUNCH] T5, ER+vit, normal => test T5 = 96.80%
[LUNCH] T6, ER+vit, normal => test T0 = 49.80%
[LUNCH] T6, ER+vit, normal => test T1 = 70.40%
[LUNCH] T6, ER+vit, normal => test T2 = 32.80%
[LUNCH] T6, ER+vit, normal => test T3 = 39.00%
[LUNCH] T6, ER+vit, normal => test T4 = 86.80%
[LUNCH] T6, ER+vit, normal => test T5 = 85.80%
[LUNCH] T6, ER+vit, normal => test T6 = 98.20%
[LUNCH] T7, ER+vit, normal => test T0 = 42.00%
[LUNCH] T7, ER+vit, normal => test T1 = 77.80%
[LUNCH] T7, ER+vit, normal => test T2 = 44.80%
[LUNCH] T7, ER+vit, normal => test T3 = 46.40%
[LUNCH] T7, ER+vit, normal => test T4 = 76.20%
[LUNCH] T7, ER+vit, normal => test T5 = 64.80%
[LUNCH] T7, ER+vit, normal => test T6 = 90.20%
[LUNCH] T7, ER+vit, normal => test T7 = 97.80%
[LUNCH] T8, ER+vit, normal => test T0 = 48.60%
[LUNCH] T8, ER+vit, normal => test T1 = 49.20%
[LUNCH] T8, ER+vit, normal => test T2 = 52.60%
[LUNCH] T8, ER+vit, normal => test T3 = 33.40%
[LUNCH] T8, ER+vit, normal => test T4 = 63.00%
[LUNCH] T8, ER+vit, normal => test T5 = 47.20%
[LUNCH] T8, ER+vit, normal => test T6 = 50.80%
[LUNCH] T8, ER+vit, normal => test T7 = 92.80%
[LUNCH] T8, ER+vit, normal => test T8 = 96.40%
[LUNCH] T9, ER+vit, normal => test T0 = 37.40%
[LUNCH] T9, ER+vit, normal => test T1 = 50.20%
[LUNCH] T9, ER+vit, normal => test T2 = 69.60%
[LUNCH] T9, ER+vit, normal => test T3 = 33.60%
[LUNCH] T9, ER+vit, normal => test T4 = 50.60%
[LUNCH] T9, ER+vit, normal => test T5 = 31.20%
[LUNCH] T9, ER+vit, normal => test T6 = 41.20%
[LUNCH] T9, ER+vit, normal => test T7 = 62.80%
[LUNCH] T9, ER+vit, normal => test T8 = 89.20%
[LUNCH] T9, ER+vit, normal => test T9 = 98.40%
[LUNCH] T10, ER+vit, normal => test T0 = 10.00%
[LUNCH] T10, ER+vit, normal => test T1 = 43.40%
[LUNCH] T10, ER+vit, normal => test T2 = 69.80%
[LUNCH] T10, ER+vit, normal => test T3 = 43.00%
[LUNCH] T10, ER+vit, normal => test T4 = 37.60%
[LUNCH] T10, ER+vit, normal => test T5 = 27.00%
[LUNCH] T10, ER+vit, normal => test T6 = 38.00%
[LUNCH] T10, ER+vit, normal => test T7 = 41.20%
[LUNCH] T10, ER+vit, normal => test T8 = 51.20%
[LUNCH] T10, ER+vit, normal => test T9 = 96.20%
[LUNCH] T10, ER+vit, normal => test T10 = 99.20%
[LUNCH] T11, ER+vit, normal => test T0 = 5.80%
[LUNCH] T11, ER+vit, normal => test T1 = 51.40%
[LUNCH] T11, ER+vit, normal => test T2 = 54.40%
[LUNCH] T11, ER+vit, normal => test T3 = 25.80%
[LUNCH] T11, ER+vit, normal => test T4 = 40.00%
[LUNCH] T11, ER+vit, normal => test T5 = 28.60%
[LUNCH] T11, ER+vit, normal => test T6 = 34.20%
[LUNCH] T11, ER+vit, normal => test T7 = 33.60%
[LUNCH] T11, ER+vit, normal => test T8 = 38.20%
[LUNCH] T11, ER+vit, normal => test T9 = 72.60%
[LUNCH] T11, ER+vit, normal => test T10 = 72.60%
[LUNCH] T11, ER+vit, normal => test T11 = 96.80%
[LUNCH] T12, ER+vit, normal => test T0 = 18.80%
[LUNCH] T12, ER+vit, normal => test T1 = 43.40%
[LUNCH] T12, ER+vit, normal => test T2 = 45.80%
[LUNCH] T12, ER+vit, normal => test T3 = 36.80%
[LUNCH] T12, ER+vit, normal => test T4 = 27.80%
[LUNCH] T12, ER+vit, normal => test T5 = 42.40%
[LUNCH] T12, ER+vit, normal => test T6 = 46.20%
[LUNCH] T12, ER+vit, normal => test T7 = 21.40%
[LUNCH] T12, ER+vit, normal => test T8 = 37.80%
[LUNCH] T12, ER+vit, normal => test T9 = 45.60%
[LUNCH] T12, ER+vit, normal => test T10 = 12.60%
[LUNCH] T12, ER+vit, normal => test T11 = 84.60%
[LUNCH] T12, ER+vit, normal => test T12 = 97.00%
[LUNCH] T13, ER+vit, normal => test T0 = 7.20%
[LUNCH] T13, ER+vit, normal => test T1 = 63.20%
[LUNCH] T13, ER+vit, normal => test T2 = 44.80%
[LUNCH] T13, ER+vit, normal => test T3 = 29.40%
[LUNCH] T13, ER+vit, normal => test T4 = 34.80%
[LUNCH] T13, ER+vit, normal => test T5 = 40.80%
[LUNCH] T13, ER+vit, normal => test T6 = 45.40%
[LUNCH] T13, ER+vit, normal => test T7 = 19.80%
[LUNCH] T13, ER+vit, normal => test T8 = 32.20%
[LUNCH] T13, ER+vit, normal => test T9 = 49.00%
[LUNCH] T13, ER+vit, normal => test T10 = 30.80%
[LUNCH] T13, ER+vit, normal => test T11 = 72.00%
[LUNCH] T13, ER+vit, normal => test T12 = 80.40%
[LUNCH] T13, ER+vit, normal => test T13 = 97.40%
[LUNCH] T14, ER+vit, normal => test T0 = 32.00%
[LUNCH] T14, ER+vit, normal => test T1 = 45.00%
[LUNCH] T14, ER+vit, normal => test T2 = 53.00%
[LUNCH] T14, ER+vit, normal => test T3 = 27.20%
[LUNCH] T14, ER+vit, normal => test T4 = 38.40%
[LUNCH] T14, ER+vit, normal => test T5 = 46.00%
[LUNCH] T14, ER+vit, normal => test T6 = 34.00%
[LUNCH] T14, ER+vit, normal => test T7 = 23.40%
[LUNCH] T14, ER+vit, normal => test T8 = 35.00%
[LUNCH] T14, ER+vit, normal => test T9 = 41.00%
