wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: pqy000 (pqythu) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /home/panqy/A10/lunch/wandb/run-20250424_133041-jii609tk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run gallant-haze-6
wandb: ⭐️ View project at https://wandb.ai/pqythu/my_cl_project_cifar100
wandb: 🚀 View run at https://wandb.ai/pqythu/my_cl_project_cifar100/runs/jii609tk
wandb: WARNING Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Files already downloaded and verified
Files already downloaded and verified
Parameters: 23.71M
[No-Lunch] T0, test T0, model=resnet50, method=DER, ACC=83.40%
[No-Lunch] T1, test T0, model=resnet50, method=DER, ACC=43.60%
[No-Lunch] T1, test T1, model=resnet50, method=DER, ACC=87.00%
[No-Lunch] T2, test T0, model=resnet50, method=DER, ACC=28.40%
[No-Lunch] T2, test T1, model=resnet50, method=DER, ACC=40.40%
[No-Lunch] T2, test T2, model=resnet50, method=DER, ACC=85.40%
[No-Lunch] T3, test T0, model=resnet50, method=DER, ACC=21.80%
[No-Lunch] T3, test T1, model=resnet50, method=DER, ACC=15.20%
[No-Lunch] T3, test T2, model=resnet50, method=DER, ACC=48.60%
[No-Lunch] T3, test T3, model=resnet50, method=DER, ACC=80.40%
[No-Lunch] T4, test T0, model=resnet50, method=DER, ACC=15.80%
[No-Lunch] T4, test T1, model=resnet50, method=DER, ACC=14.60%
[No-Lunch] T4, test T2, model=resnet50, method=DER, ACC=32.00%
[No-Lunch] T4, test T3, model=resnet50, method=DER, ACC=50.20%
[No-Lunch] T4, test T4, model=resnet50, method=DER, ACC=94.00%
[No-Lunch] T5, test T0, model=resnet50, method=DER, ACC=22.00%
[No-Lunch] T5, test T1, model=resnet50, method=DER, ACC=35.80%
[No-Lunch] T5, test T2, model=resnet50, method=DER, ACC=21.20%
[No-Lunch] T5, test T3, model=resnet50, method=DER, ACC=21.00%
[No-Lunch] T5, test T4, model=resnet50, method=DER, ACC=61.20%
[No-Lunch] T5, test T5, model=resnet50, method=DER, ACC=81.60%
[No-Lunch] T6, test T0, model=resnet50, method=DER, ACC=14.80%
[No-Lunch] T6, test T1, model=resnet50, method=DER, ACC=25.40%
[No-Lunch] T6, test T2, model=resnet50, method=DER, ACC=20.00%
[No-Lunch] T6, test T3, model=resnet50, method=DER, ACC=19.20%
[No-Lunch] T6, test T4, model=resnet50, method=DER, ACC=46.00%
[No-Lunch] T6, test T5, model=resnet50, method=DER, ACC=44.00%
[No-Lunch] T6, test T6, model=resnet50, method=DER, ACC=82.40%
[No-Lunch] T7, test T0, model=resnet50, method=DER, ACC=20.40%
[No-Lunch] T7, test T1, model=resnet50, method=DER, ACC=21.60%
[No-Lunch] T7, test T2, model=resnet50, method=DER, ACC=25.40%
[No-Lunch] T7, test T3, model=resnet50, method=DER, ACC=32.00%
[No-Lunch] T7, test T4, model=resnet50, method=DER, ACC=15.60%
[No-Lunch] T7, test T5, model=resnet50, method=DER, ACC=27.60%
[No-Lunch] T7, test T6, model=resnet50, method=DER, ACC=32.20%
[No-Lunch] T7, test T7, model=resnet50, method=DER, ACC=83.20%
[No-Lunch] T8, test T0, model=resnet50, method=DER, ACC=30.20%
[No-Lunch] T8, test T1, model=resnet50, method=DER, ACC=16.60%
[No-Lunch] T8, test T2, model=resnet50, method=DER, ACC=23.80%
[No-Lunch] T8, test T3, model=resnet50, method=DER, ACC=24.00%
[No-Lunch] T8, test T4, model=resnet50, method=DER, ACC=26.00%
[No-Lunch] T8, test T5, model=resnet50, method=DER, ACC=26.20%
[No-Lunch] T8, test T6, model=resnet50, method=DER, ACC=18.40%
[No-Lunch] T8, test T7, model=resnet50, method=DER, ACC=58.00%
[No-Lunch] T8, test T8, model=resnet50, method=DER, ACC=78.80%
[No-Lunch] T9, test T0, model=resnet50, method=DER, ACC=23.40%
[No-Lunch] T9, test T1, model=resnet50, method=DER, ACC=27.80%
[No-Lunch] T9, test T2, model=resnet50, method=DER, ACC=40.80%
[No-Lunch] T9, test T3, model=resnet50, method=DER, ACC=28.00%
[No-Lunch] T9, test T4, model=resnet50, method=DER, ACC=27.00%
[No-Lunch] T9, test T5, model=resnet50, method=DER, ACC=11.40%
[No-Lunch] T9, test T6, model=resnet50, method=DER, ACC=23.60%
[No-Lunch] T9, test T7, model=resnet50, method=DER, ACC=39.20%
[No-Lunch] T9, test T8, model=resnet50, method=DER, ACC=39.60%
[No-Lunch] T9, test T9, model=resnet50, method=DER, ACC=91.00%
[No-Lunch] T10, test T0, model=resnet50, method=DER, ACC=6.60%
[No-Lunch] T10, test T1, model=resnet50, method=DER, ACC=23.00%
[No-Lunch] T10, test T2, model=resnet50, method=DER, ACC=30.40%
[No-Lunch] T10, test T3, model=resnet50, method=DER, ACC=23.20%
[No-Lunch] T10, test T4, model=resnet50, method=DER, ACC=27.20%
[No-Lunch] T10, test T5, model=resnet50, method=DER, ACC=16.20%
[No-Lunch] T10, test T6, model=resnet50, method=DER, ACC=24.60%
[No-Lunch] T10, test T7, model=resnet50, method=DER, ACC=26.80%
[No-Lunch] T10, test T8, model=resnet50, method=DER, ACC=17.40%
[No-Lunch] T10, test T9, model=resnet50, method=DER, ACC=74.60%
[No-Lunch] T10, test T10, model=resnet50, method=DER, ACC=87.40%
[No-Lunch] T11, test T0, model=resnet50, method=DER, ACC=10.20%
[No-Lunch] T11, test T1, model=resnet50, method=DER, ACC=24.00%
[No-Lunch] T11, test T2, model=resnet50, method=DER, ACC=26.00%
[No-Lunch] T11, test T3, model=resnet50, method=DER, ACC=13.60%
[No-Lunch] T11, test T4, model=resnet50, method=DER, ACC=15.20%
[No-Lunch] T11, test T5, model=resnet50, method=DER, ACC=11.00%
[No-Lunch] T11, test T6, model=resnet50, method=DER, ACC=26.40%
[No-Lunch] T11, test T7, model=resnet50, method=DER, ACC=21.80%
[No-Lunch] T11, test T8, model=resnet50, method=DER, ACC=13.20%
[No-Lunch] T11, test T9, model=resnet50, method=DER, ACC=46.00%
[No-Lunch] T11, test T10, model=resnet50, method=DER, ACC=41.80%
[No-Lunch] T11, test T11, model=resnet50, method=DER, ACC=85.80%
[No-Lunch] T12, test T0, model=resnet50, method=DER, ACC=22.00%
[No-Lunch] T12, test T1, model=resnet50, method=DER, ACC=21.20%
[No-Lunch] T12, test T2, model=resnet50, method=DER, ACC=21.80%
[No-Lunch] T12, test T3, model=resnet50, method=DER, ACC=28.40%
[No-Lunch] T12, test T4, model=resnet50, method=DER, ACC=12.40%
[No-Lunch] T12, test T5, model=resnet50, method=DER, ACC=18.60%
[No-Lunch] T12, test T6, model=resnet50, method=DER, ACC=31.40%
[No-Lunch] T12, test T7, model=resnet50, method=DER, ACC=16.80%
[No-Lunch] T12, test T8, model=resnet50, method=DER, ACC=20.20%
[No-Lunch] T12, test T9, model=resnet50, method=DER, ACC=20.20%
[No-Lunch] T12, test T10, model=resnet50, method=DER, ACC=11.00%
[No-Lunch] T12, test T11, model=resnet50, method=DER, ACC=52.40%
[No-Lunch] T12, test T12, model=resnet50, method=DER, ACC=89.00%
