wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: pqy000 (pqythu) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /home/panqy/A10/lunch/wandb/run-20250424_132833-nn9rja2i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run colorful-capybara-4
wandb: ⭐️ View project at https://wandb.ai/pqythu/my_cl_project_cifar100
wandb: 🚀 View run at https://wandb.ai/pqythu/my_cl_project_cifar100/runs/nn9rja2i
wandb: WARNING Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Files already downloaded and verified
Files already downloaded and verified
Parameters: 23.71M
[No-Lunch] T0, test T0, model=resnet50, method=ER, ACC=84.60%
[No-Lunch] T1, test T0, model=resnet50, method=ER, ACC=39.20%
[No-Lunch] T1, test T1, model=resnet50, method=ER, ACC=90.40%
[No-Lunch] T2, test T0, model=resnet50, method=ER, ACC=25.40%
[No-Lunch] T2, test T1, model=resnet50, method=ER, ACC=51.00%
[No-Lunch] T2, test T2, model=resnet50, method=ER, ACC=86.60%
[No-Lunch] T3, test T0, model=resnet50, method=ER, ACC=23.20%
[No-Lunch] T3, test T1, model=resnet50, method=ER, ACC=19.20%
[No-Lunch] T3, test T2, model=resnet50, method=ER, ACC=57.00%
[No-Lunch] T3, test T3, model=resnet50, method=ER, ACC=81.20%
[No-Lunch] T4, test T0, model=resnet50, method=ER, ACC=18.20%
[No-Lunch] T4, test T1, model=resnet50, method=ER, ACC=16.00%
[No-Lunch] T4, test T2, model=resnet50, method=ER, ACC=36.60%
[No-Lunch] T4, test T3, model=resnet50, method=ER, ACC=53.20%
[No-Lunch] T4, test T4, model=resnet50, method=ER, ACC=93.80%
[No-Lunch] T5, test T0, model=resnet50, method=ER, ACC=15.40%
[No-Lunch] T5, test T1, model=resnet50, method=ER, ACC=37.60%
[No-Lunch] T5, test T2, model=resnet50, method=ER, ACC=22.00%
[No-Lunch] T5, test T3, model=resnet50, method=ER, ACC=20.20%
[No-Lunch] T5, test T4, model=resnet50, method=ER, ACC=65.40%
[No-Lunch] T5, test T5, model=resnet50, method=ER, ACC=84.80%
[No-Lunch] T6, test T0, model=resnet50, method=ER, ACC=17.20%
[No-Lunch] T6, test T1, model=resnet50, method=ER, ACC=18.00%
[No-Lunch] T6, test T2, model=resnet50, method=ER, ACC=20.80%
[No-Lunch] T6, test T3, model=resnet50, method=ER, ACC=24.20%
[No-Lunch] T6, test T4, model=resnet50, method=ER, ACC=50.60%
[No-Lunch] T6, test T5, model=resnet50, method=ER, ACC=45.00%
[No-Lunch] T6, test T6, model=resnet50, method=ER, ACC=84.20%
[No-Lunch] T7, test T0, model=resnet50, method=ER, ACC=20.40%
[No-Lunch] T7, test T1, model=resnet50, method=ER, ACC=18.80%
[No-Lunch] T7, test T2, model=resnet50, method=ER, ACC=21.80%
[No-Lunch] T7, test T3, model=resnet50, method=ER, ACC=33.60%
[No-Lunch] T7, test T4, model=resnet50, method=ER, ACC=19.40%
[No-Lunch] T7, test T5, model=resnet50, method=ER, ACC=22.20%
[No-Lunch] T7, test T6, model=resnet50, method=ER, ACC=33.80%
[No-Lunch] T7, test T7, model=resnet50, method=ER, ACC=84.40%
[No-Lunch] T8, test T0, model=resnet50, method=ER, ACC=31.00%
[No-Lunch] T8, test T1, model=resnet50, method=ER, ACC=17.00%
[No-Lunch] T8, test T2, model=resnet50, method=ER, ACC=28.40%
[No-Lunch] T8, test T3, model=resnet50, method=ER, ACC=22.80%
[No-Lunch] T8, test T4, model=resnet50, method=ER, ACC=26.00%
[No-Lunch] T8, test T5, model=resnet50, method=ER, ACC=27.00%
[No-Lunch] T8, test T6, model=resnet50, method=ER, ACC=16.00%
[No-Lunch] T8, test T7, model=resnet50, method=ER, ACC=55.20%
[No-Lunch] T8, test T8, model=resnet50, method=ER, ACC=77.40%
[No-Lunch] T9, test T0, model=resnet50, method=ER, ACC=23.20%
[No-Lunch] T9, test T1, model=resnet50, method=ER, ACC=20.60%
[No-Lunch] T9, test T2, model=resnet50, method=ER, ACC=39.00%
[No-Lunch] T9, test T3, model=resnet50, method=ER, ACC=23.60%
[No-Lunch] T9, test T4, model=resnet50, method=ER, ACC=18.20%
[No-Lunch] T9, test T5, model=resnet50, method=ER, ACC=11.20%
[No-Lunch] T9, test T6, model=resnet50, method=ER, ACC=14.80%
[No-Lunch] T9, test T7, model=resnet50, method=ER, ACC=36.40%
[No-Lunch] T9, test T8, model=resnet50, method=ER, ACC=33.60%
[No-Lunch] T9, test T9, model=resnet50, method=ER, ACC=91.60%
[No-Lunch] T10, test T0, model=resnet50, method=ER, ACC=9.60%
[No-Lunch] T10, test T1, model=resnet50, method=ER, ACC=26.40%
[No-Lunch] T10, test T2, model=resnet50, method=ER, ACC=31.00%
[No-Lunch] T10, test T3, model=resnet50, method=ER, ACC=23.00%
[No-Lunch] T10, test T4, model=resnet50, method=ER, ACC=22.60%
[No-Lunch] T10, test T5, model=resnet50, method=ER, ACC=16.80%
[No-Lunch] T10, test T6, model=resnet50, method=ER, ACC=20.60%
[No-Lunch] T10, test T7, model=resnet50, method=ER, ACC=24.80%
[No-Lunch] T10, test T8, model=resnet50, method=ER, ACC=21.00%
[No-Lunch] T10, test T9, model=resnet50, method=ER, ACC=70.00%
