wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: pqy000 (pqythu) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /home/panqy/A10/lunch/wandb/run-20250424_133041-ikghgvmx
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run lemon-water-6
wandb: ⭐️ View project at https://wandb.ai/pqythu/my_cl_project_cifar100
wandb: 🚀 View run at https://wandb.ai/pqythu/my_cl_project_cifar100/runs/ikghgvmx
wandb: WARNING Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Files already downloaded and verified
Files already downloaded and verified
Parameters: 23.71M
[No-Lunch] T0, test T0, model=resnet50, method=RAR, ACC=66.40%
[No-Lunch] T1, test T0, model=resnet50, method=RAR, ACC=22.00%
[No-Lunch] T1, test T1, model=resnet50, method=RAR, ACC=64.40%
[No-Lunch] T2, test T0, model=resnet50, method=RAR, ACC=36.20%
[No-Lunch] T2, test T1, model=resnet50, method=RAR, ACC=28.20%
[No-Lunch] T2, test T2, model=resnet50, method=RAR, ACC=76.20%
[No-Lunch] T3, test T0, model=resnet50, method=RAR, ACC=32.60%
[No-Lunch] T3, test T1, model=resnet50, method=RAR, ACC=12.00%
[No-Lunch] T3, test T2, model=resnet50, method=RAR, ACC=42.60%
[No-Lunch] T3, test T3, model=resnet50, method=RAR, ACC=72.00%
[No-Lunch] T4, test T0, model=resnet50, method=RAR, ACC=23.20%
[No-Lunch] T4, test T1, model=resnet50, method=RAR, ACC=18.40%
[No-Lunch] T4, test T2, model=resnet50, method=RAR, ACC=27.20%
[No-Lunch] T4, test T3, model=resnet50, method=RAR, ACC=31.00%
[No-Lunch] T4, test T4, model=resnet50, method=RAR, ACC=89.20%
[No-Lunch] T5, test T0, model=resnet50, method=RAR, ACC=20.00%
[No-Lunch] T5, test T1, model=resnet50, method=RAR, ACC=32.80%
[No-Lunch] T5, test T2, model=resnet50, method=RAR, ACC=14.40%
[No-Lunch] T5, test T3, model=resnet50, method=RAR, ACC=18.80%
[No-Lunch] T5, test T4, model=resnet50, method=RAR, ACC=45.00%
[No-Lunch] T5, test T5, model=resnet50, method=RAR, ACC=70.00%
[No-Lunch] T6, test T0, model=resnet50, method=RAR, ACC=15.40%
[No-Lunch] T6, test T1, model=resnet50, method=RAR, ACC=22.20%
[No-Lunch] T6, test T2, model=resnet50, method=RAR, ACC=13.00%
[No-Lunch] T6, test T3, model=resnet50, method=RAR, ACC=13.60%
[No-Lunch] T6, test T4, model=resnet50, method=RAR, ACC=39.40%
[No-Lunch] T6, test T5, model=resnet50, method=RAR, ACC=24.20%
[No-Lunch] T6, test T6, model=resnet50, method=RAR, ACC=71.20%
[No-Lunch] T7, test T0, model=resnet50, method=RAR, ACC=23.40%
[No-Lunch] T7, test T1, model=resnet50, method=RAR, ACC=16.80%
[No-Lunch] T7, test T2, model=resnet50, method=RAR, ACC=15.60%
[No-Lunch] T7, test T3, model=resnet50, method=RAR, ACC=26.40%
[No-Lunch] T7, test T4, model=resnet50, method=RAR, ACC=13.60%
[No-Lunch] T7, test T5, model=resnet50, method=RAR, ACC=17.20%
[No-Lunch] T7, test T6, model=resnet50, method=RAR, ACC=16.60%
[No-Lunch] T7, test T7, model=resnet50, method=RAR, ACC=70.80%
[No-Lunch] T8, test T0, model=resnet50, method=RAR, ACC=34.80%
[No-Lunch] T8, test T1, model=resnet50, method=RAR, ACC=17.60%
[No-Lunch] T8, test T2, model=resnet50, method=RAR, ACC=29.60%
[No-Lunch] T8, test T3, model=resnet50, method=RAR, ACC=22.40%
[No-Lunch] T8, test T4, model=resnet50, method=RAR, ACC=24.00%
[No-Lunch] T8, test T5, model=resnet50, method=RAR, ACC=20.80%
[No-Lunch] T8, test T6, model=resnet50, method=RAR, ACC=28.80%
[No-Lunch] T8, test T7, model=resnet50, method=RAR, ACC=40.20%
[No-Lunch] T8, test T8, model=resnet50, method=RAR, ACC=64.60%
[No-Lunch] T9, test T0, model=resnet50, method=RAR, ACC=22.00%
[No-Lunch] T9, test T1, model=resnet50, method=RAR, ACC=20.40%
[No-Lunch] T9, test T2, model=resnet50, method=RAR, ACC=28.40%
[No-Lunch] T9, test T3, model=resnet50, method=RAR, ACC=17.60%
[No-Lunch] T9, test T4, model=resnet50, method=RAR, ACC=27.20%
