Files already downloaded and verified
Files already downloaded and verified
[No-Lunch] T0, test T0, model=vit, method=RAR, ACC=97.60%
[No-Lunch] T1, test T0, model=vit, method=RAR, ACC=80.20%
[No-Lunch] T1, test T1, model=vit, method=RAR, ACC=99.00%
[No-Lunch] T2, test T0, model=vit, method=RAR, ACC=54.60%
[No-Lunch] T2, test T1, model=vit, method=RAR, ACC=59.80%
[No-Lunch] T2, test T2, model=vit, method=RAR, ACC=98.40%
[No-Lunch] T3, test T0, model=vit, method=RAR, ACC=33.20%
[No-Lunch] T3, test T1, model=vit, method=RAR, ACC=33.80%
[No-Lunch] T3, test T2, model=vit, method=RAR, ACC=65.60%
[No-Lunch] T3, test T3, model=vit, method=RAR, ACC=98.20%
[No-Lunch] T4, test T0, model=vit, method=RAR, ACC=20.60%
[No-Lunch] T4, test T1, model=vit, method=RAR, ACC=45.00%
[No-Lunch] T4, test T2, model=vit, method=RAR, ACC=63.00%
[No-Lunch] T4, test T3, model=vit, method=RAR, ACC=76.80%
[No-Lunch] T4, test T4, model=vit, method=RAR, ACC=99.20%
[No-Lunch] T5, test T0, model=vit, method=RAR, ACC=19.20%
[No-Lunch] T5, test T1, model=vit, method=RAR, ACC=59.60%
[No-Lunch] T5, test T2, model=vit, method=RAR, ACC=48.20%
[No-Lunch] T5, test T3, model=vit, method=RAR, ACC=48.80%
[No-Lunch] T5, test T4, model=vit, method=RAR, ACC=82.40%
[No-Lunch] T5, test T5, model=vit, method=RAR, ACC=97.80%
[No-Lunch] T6, test T0, model=vit, method=RAR, ACC=21.00%
[No-Lunch] T6, test T1, model=vit, method=RAR, ACC=49.60%
[No-Lunch] T6, test T2, model=vit, method=RAR, ACC=23.00%
[No-Lunch] T6, test T3, model=vit, method=RAR, ACC=33.20%
[No-Lunch] T6, test T4, model=vit, method=RAR, ACC=80.80%
[No-Lunch] T6, test T5, model=vit, method=RAR, ACC=73.60%
[No-Lunch] T6, test T6, model=vit, method=RAR, ACC=98.00%
[No-Lunch] T7, test T0, model=vit, method=RAR, ACC=28.60%
[No-Lunch] T7, test T1, model=vit, method=RAR, ACC=43.20%
[No-Lunch] T7, test T2, model=vit, method=RAR, ACC=29.80%
[No-Lunch] T7, test T3, model=vit, method=RAR, ACC=43.60%
[No-Lunch] T7, test T4, model=vit, method=RAR, ACC=56.00%
[No-Lunch] T7, test T5, model=vit, method=RAR, ACC=47.00%
[No-Lunch] T7, test T6, model=vit, method=RAR, ACC=61.20%
[No-Lunch] T7, test T7, model=vit, method=RAR, ACC=99.40%
[No-Lunch] T8, test T0, model=vit, method=RAR, ACC=31.00%
[No-Lunch] T8, test T1, model=vit, method=RAR, ACC=25.00%
[No-Lunch] T8, test T2, model=vit, method=RAR, ACC=37.60%
[No-Lunch] T8, test T3, model=vit, method=RAR, ACC=28.80%
[No-Lunch] T8, test T4, model=vit, method=RAR, ACC=42.00%
[No-Lunch] T8, test T5, model=vit, method=RAR, ACC=42.60%
[No-Lunch] T8, test T6, model=vit, method=RAR, ACC=37.80%
[No-Lunch] T8, test T7, model=vit, method=RAR, ACC=80.60%
[No-Lunch] T8, test T8, model=vit, method=RAR, ACC=97.80%
[No-Lunch] T9, test T0, model=vit, method=RAR, ACC=24.80%
[No-Lunch] T9, test T1, model=vit, method=RAR, ACC=38.80%
[No-Lunch] T9, test T2, model=vit, method=RAR, ACC=59.00%
[No-Lunch] T9, test T3, model=vit, method=RAR, ACC=31.40%
[No-Lunch] T9, test T4, model=vit, method=RAR, ACC=45.80%
[No-Lunch] T9, test T5, model=vit, method=RAR, ACC=22.00%
[No-Lunch] T9, test T6, model=vit, method=RAR, ACC=34.00%
[No-Lunch] T9, test T7, model=vit, method=RAR, ACC=59.20%
[No-Lunch] T9, test T8, model=vit, method=RAR, ACC=70.00%
[No-Lunch] T9, test T9, model=vit, method=RAR, ACC=99.00%
[No-Lunch] T10, test T0, model=vit, method=RAR, ACC=2.00%
[No-Lunch] T10, test T1, model=vit, method=RAR, ACC=35.40%
[No-Lunch] T10, test T2, model=vit, method=RAR, ACC=50.80%
[No-Lunch] T10, test T3, model=vit, method=RAR, ACC=40.20%
[No-Lunch] T10, test T4, model=vit, method=RAR, ACC=29.40%
[No-Lunch] T10, test T5, model=vit, method=RAR, ACC=24.60%
[No-Lunch] T10, test T6, model=vit, method=RAR, ACC=33.40%
[No-Lunch] T10, test T7, model=vit, method=RAR, ACC=29.60%
[No-Lunch] T10, test T8, model=vit, method=RAR, ACC=28.00%
[No-Lunch] T10, test T9, model=vit, method=RAR, ACC=90.20%
[No-Lunch] T10, test T10, model=vit, method=RAR, ACC=99.20%
[No-Lunch] T11, test T0, model=vit, method=RAR, ACC=3.20%
[No-Lunch] T11, test T1, model=vit, method=RAR, ACC=33.80%
[No-Lunch] T11, test T2, model=vit, method=RAR, ACC=40.00%
[No-Lunch] T11, test T3, model=vit, method=RAR, ACC=21.20%
[No-Lunch] T11, test T4, model=vit, method=RAR, ACC=30.80%
[No-Lunch] T11, test T5, model=vit, method=RAR, ACC=12.40%
[No-Lunch] T11, test T6, model=vit, method=RAR, ACC=26.80%
[No-Lunch] T11, test T7, model=vit, method=RAR, ACC=27.80%
[No-Lunch] T11, test T8, model=vit, method=RAR, ACC=15.20%
[No-Lunch] T11, test T9, model=vit, method=RAR, ACC=63.60%
[No-Lunch] T11, test T10, model=vit, method=RAR, ACC=54.80%
[No-Lunch] T11, test T11, model=vit, method=RAR, ACC=97.80%
[No-Lunch] T12, test T0, model=vit, method=RAR, ACC=15.60%
[No-Lunch] T12, test T1, model=vit, method=RAR, ACC=23.80%
[No-Lunch] T12, test T2, model=vit, method=RAR, ACC=35.80%
